nodo1,nodo2,sendero,distancia,color,estimate
Séptima Brigada,CasaToro Ford,rs,4.1,red,0
CasaToro Ford,Los Fundadores,rs,2.1,blue,0
Los Fundadores,Viva centro comercial,rs,0.6,green,0
Séptima Brigada,Universidad Cooperativa de Colombia,rs,1.7,yellow,0
Universidad Cooperativa de Colombia,Polideportivo La Rosita,rs,0.32,pink,0
Universidad Cooperativa de Colombia,Corporación Universitaria Autónoma de Nariño - AUNAR,rs,2.8,violet,0
Polideportivo La Rosita,Clinica de Salud Mental-La Confraternidad,rs,0.65,brown,0
Clinica de Salud Mental-La Confraternidad,Cancha Sintética Sport Light,rs,0.75,orange,0
Universidad Cooperativa de Colombia,Nuestra Señora de Lourdes,rs,0.75,magenta,0
Nuestra Señora de Lourdes,Polideportivo Doña Luz,rs,0.45,gold,0
Cancha Sintética Sport Light,Librería & Papelería Popular,rs,0.7,grey,0
Librería & Papelería Popular,BTM COMPUTER,rc,0.5,red,0
BTM COMPUTER,Megacolegio Silvia Aponte,rc,0.75,blue,0
Megacolegio Silvia Aponte,Parque barrio Villa Melida,rc,0.45,green,0
Parque barrio Villa Melida,Polideportivo Villamelida,rc,0.4,yellow,0
Polideportivo Villamelida,Canchas sintéticas Gol de Yepes,rc,0.7,pink,0
Canchas sintéticas Gol de Yepes,Lote Kirpas,rc,0.27,violet,0
Canchas sintéticas Gol de Yepes,Parque Cavivir,rc,0.4,brown,0
Lote Kirpas,cancha Acapulco,rc,0.45,orange,0
cancha Acapulco,Polideportivo barrio La Sabana,rc,0.85,magenta,0
Polideportivo barrio La Sabana,Parque La Carolina,rc,0.35,gold,0
Parque La Carolina,Parque Del Barrio Villa Samper,rc,0.23,grey,0
Parque Del Barrio Villa Samper,Parque Kirpas,rt,0.27,red,0
Parque Kirpas,BARRIO ACAPULCO,rt,0.35,blue,0
BARRIO ACAPULCO,Parque Las Malocas - Catama,rt,1.6,green,0
Cancha Sintética Sport Light,BARRIO ACAPULCO,rt,1.9,yellow,0
Parque Las Malocas - Catama,Barrio Rincon de las Marias,rt,0.85,pink,0
Barrio Rincon de las Marias,Hotel Campestre El Campanario,rt,0.6,violet,0
Hotel Campestre El Campanario,Conjunto LlanoAlto,rt,0.75,brown,0
Conjunto LlanoAlto,Monumento flora de vida,rt,0.23,orange,0
Conjunto LlanoAlto,Parque Pequeña Pony,rt,0.3,magenta,0
Monumento flora de vida,Conjunto Cerrado Ciudad Salitre,rt,1.2,gold,0
Monumento flora de vida,COMPLEJO DEPORTIVO BMX COVISAN,rt,1.7,grey,0
Conjunto Cerrado Ciudad Salitre,Colegio Marco Antonio Franco Rodriguez,rh,0.55,red,0
Hotel Campestre Navar City,CHATARRERIA MINCHO,rh,1.8,blue,0
CHATARRERIA MINCHO,LA PAULINA,rh,1.1,green,0
LA PAULINA,Iglesia MMM Sede Vencedores,rh,1.6,yellow,0
LA PAULINA,FINCA LA NORTEÑA,rh,0.5,pink,0
Iglesia MMM Sede Vencedores,Cancha Barrio Vencedores,rh,0.2,violet,0
Cancha Barrio Vencedores,Barrio Topacio mi casa,rh,0.95,brown,0
COMPLEJO DEPORTIVO BMX COVISAN,Hotel Campestre Navar City,rh,2.3,orange,0
CHATARRERIA MINCHO,Hotel Deportivo y Recreativo Los Gemelos,rh,0.4,magenta,0
Hotel Deportivo y Recreativo Los Gemelos,Villa Danny Villavicencio,rh,0.17,gold,0
COMPLEJO DEPORTIVO BMX COVISAN,OKAVANGO La Esmeralda,rh,0.5,grey,0
OKAVANGO La Esmeralda,Parque Habitacional La Esmeralda,rd,0.55,red,0
Hotel Deportivo y Recreativo Los Gemelos,Parque Habitacional La Esmeralda,rd,0.6,blue,0
Parque Habitacional La Esmeralda,ALTOS DE OKAVANGO,rd,0.55,green,0
ALTOS DE OKAVANGO,Cancha Arena Portales del Llano,rd,0.7,yellow,0
Cancha Arena Portales del Llano,Institucion Educativa Jorge Eliecer Gaitan Ayala Sede Atanacio Girardot,rd,0.8,pink,0
Colegio Marco Antonio Franco Rodriguez,Institucion Educativa Jorge Eliecer Gaitan Ayala Sede Atanacio Girardot,rd,1.8,violet,0
Institucion Educativa Jorge Eliecer Gaitan Ayala Sede Atanacio Girardot,Polideportivo Barrio Morichal,rd,0.45,brown,0
Polideportivo Barrio Morichal,Accesorios la Bonita,rd,0.55,orange,0
Colegio Marco Antonio Franco Rodriguez,IMMUNOCAL@WMB2019,rd,0.5,magenta,0
Monumento flora de vida,IMMUNOCAL@WMB2019,rd,1.1,gold,0
IMMUNOCAL@WMB2019,Francachela Pizza Parrilla,rd,0.4,grey,0
OKAVANGO La Esmeralda,Iglesia Cristiana Pentecostes Del Movimiento Misionero Mundial Covisan,v,0.7,red,0
Iglesia Cristiana Pentecostes Del Movimiento Misionero Mundial Covisan,Polideportivo Antonio Villavicencio,v,0.8,blue,0
OKAVANGO La Esmeralda,Polideportivo Covisan,v,0.45,green,0
Polideportivo Covisan,Delirio covisan,v,0.55,yellow,0
